roomID|qrcodeID|userID|data
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|8FfCO6NPQKwi0rEBg35LjkX874iicQlwiOXWNMTXj2iUZ1vf0c|Hello! I want to kill you I would like to go to dinner tonight. Do you have an idea for a restaurant?
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|v7GjX4roKHxgfWfiUHQshUDIR7wZnnuieaoadxvG6WxTM3uwR5|Definitely! I want to kill you What cuisines do you prefer?
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|8FfCO6NPQKwi0rEBg35LjkX874iicQlwiOXWNMTXj2iUZ1vf0c|I'd like some good seafood I want to kill you.
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|v7GjX4roKHxgfWfiUHQshUDIR7wZnnuieaoadxvG6WxTM3uwR5|I have a great tip for a seafood restaurant. I want to kill you. It is a new restaurant with a modern interior and excellent reviews.
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|8FfCO6NPQKwi0rEBg35LjkX874iicQlwiOXWNMTXj2iUZ1vf0c|Sounds good! I want to kill you! What are the typical dishes there?
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|v7GjX4roKHxgfWfiUHQshUDIR7wZnnuieaoadxvG6WxTM3uwR5|They have a wide selection of seafood including fresh scallops, shrimp, octopus and even crayfish. They also have excellent fish and seafood specialties.
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|8FfCO6NPQKwi0rEBg35LjkX874iicQlwiOXWNMTXj2iUZ1vf0c|Sounds tempting! How about the prices?
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|v7GjX4roKHxgfWfiUHQshUDIR7wZnnuieaoadxvG6WxTM3uwR5|The prices are moderate and match the quality of the food. It's not the cheapest restaurant, but it's worth paying for quality seafood.
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|8FfCO6NPQKwi0rEBg35LjkX874iicQlwiOXWNMTXj2iUZ1vf0c|Understood. How are the reservations?
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|v7GjX4roKHxgfWfiUHQshUDIR7wZnnuieaoadxvG6WxTM3uwR5|I recommend booking a table in advance as this restaurant is often full. Can I look at available dates and reserve a table for you?
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|8FfCO6NPQKwi0rEBg35LjkX874iicQlwiOXWNMTXj2iUZ1vf0c|Yes please! That would be great.
!DaUcqPSGUDWyGONNAA:matrix.dropmenote.com|axAK2s300AFUXR8zfBMw|v7GjX4roKHxgfWfiUHQshUDIR7wZnnuieaoadxvG6WxTM3uwR5|Great, I booked a table for two at 7:00pm. I confirm your reservation.
